m49code,country
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
104,Myanmar
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
108,Burundi
